gene	log2fc	pval
ARHGEF10L	0.0346901236069003	0.345399734417997
ARHGEF11	0.0285199714951483	0.480245118026119
ARHGEF12	0.0141345788503196	0.281057720786635
ARHGEF17	0.0339786090050699	0.114398446889908
ARHGEF18	-0.013900694679447	0.41811120155838
ARHGEF2	-0.109092437021161	0.0291699916049023
ARHGEF25	0.0394489637849986	0.123499349176619
ARHGEF26	0.0130407299726125	0.68520992333756
ARHGEF28	0.0343050356832201	0.10241961393922
ARHGEF37	0.0295258008979482	0.376528657836946
ARHGEF4	0.102359527159033	0.0884168077680621
ARHGEF40	0.0218722193798983	0.612890906460988
ARHGEF6	0.0313396623283639	0.0545214550926124
ARHGEF7	0.00727747110286212	0.826804225030619
ARHGEF9	-0.0320622107237105	0.107251132978455
ARID1A	-0.012294380599776	0.641531867912573
ARID1B	0.0261420693918016	0.433178361602688
ARID4B	0.0510834158180514	0.57211177852337
ARID5B	-0.0726540319798327	0.555050761927629
ARIH1	0.000111910624835301	0.996237121599952
ARIH2	-0.00372742696532845	0.927734997438971
ARK2N	0.0083122731706286	0.824436620023114
ARL1	-0.0275442590585624	0.39982490295833
ARL10	0.0474732992007987	0.119295246574723
ARL15	-0.0431685443501242	0.192611603026389
ARL2	-0.00195309332241531	0.96809813167098
ARL2BP	0.00508299483832567	0.848953442549255
ARL3	0.0401458415999595	0.0565602048086042
ARL4C	-0.00381221299169154	0.940021897599503
ARL5A	0.00293653078099118	0.948104516632389
ARL6	0.00603959527189946	0.812169513308267
ARL6IP4	0.221888649762052	0.00772604603747744
ARL6IP5	-0.000582047186581724	0.987908050980515
ARL8A	-0.00657247457370266	0.869046806956961
ARL8B	0.00857219715008556	0.767312312043466
ARLN	0.0161777415849614	0.791340311941771
ARMC1	-0.0169022334779306	0.384271733810868
ARMC10	-0.107006578174232	0.0193034933090653
ARMC6	-0.0225715621618242	0.392332156373356
ARMC8	-0.0660620361612249	0.000292880333538732
ARMC9	-0.00566725847381547	0.878459265949496
ARMCX1	0.0279461025710375	0.45507145922696
ARMCX2	0.00887179718016692	0.881187998650369
ARMCX3	-0.0151911439497659	0.399281471761411
ARMCX4	0.0238038638040903	0.493960706551511
ARMH3	0.0328337867934443	0.103033728310854
ARNT2	0.0049800103417233	0.884963660620665
ARPC1A	0.0044140656769896	0.828634434227728
ARPC1B	-0.0213214090811086	0.550613717538814
ARPC2	-0.0208979697042362	0.233243339597918
ARPC3	-0.0343762745728541	0.268205420419526
ARPC4	-0.00958731472470511	0.66244113669849
ARPC5	-0.00974273990478887	0.68287899520254
ARPC5L	-0.0199251937340509	0.389366264821879
ARPIN	0.0159923564179971	0.428276385625075
ARPP19	-0.128429259739397	0.0031822214790245
ARPP21	-0.0661912663981062	0.341544034408871
ARRB1	0.0337750483439948	0.0668708524899263
ARRB2	-0.0335214262294684	0.250656187022819
ARRDC1	-0.0489889802158516	0.0821984931063402
ARSA	-0.063194704288216	0.230525070685463
ARSB	-0.00392265460455699	0.954733606386785
ARSD	0.0848553576469629	0.0504266532243967
